"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Urinary organ, unspecified - Malignant neoplasms"	"C68.9"	10	4921532	Unreliable
	"Alabama"	"01"	"Frontal lobe - Malignant neoplasms"	"C71.1"	24	4921532	0.5
	"Alabama"	"01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	253	4921532	5.1
	"Alabama"	"01"	"Malignant neoplasm of thyroid gland"	"C73"	27	4921532	0.5
	"Alabama"	"01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	22	4921532	0.4
	"Alabama"	"01"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	11	4921532	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	15	4921532	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	14	4921532	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	39	4921532	0.8
	"Alabama"	"01"	"Malignant neoplasm without specification of site"	"C80"	490	4921532	10.0
	"Alabama"	"01"	"Hodgkin disease, unspecified"	"C81.9"	17	4921532	Unreliable
	"Alabama"	"01"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	14	4921532	Unreliable
	"Alabama"	"01"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	11	4921532	Unreliable
	"Alabama"	"01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	47	4921532	1.0
	"Alabama"	"01"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	16	4921532	Unreliable
	"Alabama"	"01"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	60	4921532	1.2
	"Alabama"	"01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	140	4921532	2.8
	"Alabama"	"01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	221	4921532	4.5
	"Alabama"	"01"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	26	4921532	0.5
	"Alabama"	"01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	48	4921532	1.0
	"Alabama"	"01"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	13	4921532	Unreliable
	"Alabama"	"01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	162	4921532	3.3
	"Alabama"	"01"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	17	4921532	Unreliable
	"Alabama"	"01"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	15	4921532	Unreliable
	"Alabama"	"01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	16	4921532	Unreliable
	"Alabama"	"01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	57	4921532	1.2
	"Alabama"	"01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	114	4921532	2.3
	"Alabama"	"01"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	10	4921532	Unreliable
	"Alabama"	"01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	24	4921532	0.5
	"Alabama"	"01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	108	4921532	2.2
	"Alabama"	"01"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	15	4921532	Unreliable
	"Alabama"	"01"	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	16	4921532	Unreliable
	"Alabama"	"01"	"Sickle-cell anaemia without crisis"	"D57.1"	14	4921532	Unreliable
	"Alabama"	"01"	"Aplastic anaemia, unspecified"	"D61.9"	19	4921532	Unreliable
	"Alabama"	"01"	"Acute posthaemorrhagic anaemia"	"D62"	12	4921532	Unreliable
	"Alabama"	"01"	"Anaemia, unspecified"	"D64.9"	48	4921532	1.0
	"Alabama"	"01"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	14	4921532	Unreliable
	"Alabama"	"01"	"Coagulation defect, unspecified"	"D68.9"	13	4921532	Unreliable
	"Alabama"	"01"	"Thrombocytopenia, unspecified"	"D69.6"	12	4921532	Unreliable
	"Alabama"	"01"	"Sarcoidosis, unspecified"	"D86.9"	19	4921532	Unreliable
	"Alabama"	"01"	"Hypothyroidism, unspecified"	"E03.9"	22	4921532	0.4
	"Alabama"	"01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	18	4921532	Unreliable
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	145	4921532	2.9
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	23	4921532	0.5
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	15	4921532	Unreliable
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	285	4921532	5.8
	"Alabama"	"01"	"Unspecified diabetes mellitus, with coma"	"E14.0"	12	4921532	Unreliable
	"Alabama"	"01"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	87	4921532	1.8
	"Alabama"	"01"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	171	4921532	3.5
	"Alabama"	"01"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	20	4921532	0.4
	"Alabama"	"01"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	30	4921532	0.6
	"Alabama"	"01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	606	4921532	12.3
	"Alabama"	"01"	"Hypoglycaemia, unspecified"	"E16.2"	21	4921532	0.4
	"Alabama"	"01"	"Nutritional marasmus"	"E41"	10	4921532	Unreliable
	"Alabama"	"01"	"Unspecified severe protein-energy malnutrition"	"E43"	180	4921532	3.7
	"Alabama"	"01"	"Moderate protein-energy malnutrition"	"E44.0"	10	4921532	Unreliable
	"Alabama"	"01"	"Unspecified protein-energy malnutrition"	"E46"	293	4921532	6.0
	"Alabama"	"01"	"Other obesity"	"E66.8"	73	4921532	1.5
	"Alabama"	"01"	"Obesity, unspecified"	"E66.9"	90	4921532	1.8
	"Alabama"	"01"	"Pure hypercholesterolaemia"	"E78.0"	18	4921532	Unreliable
	"Alabama"	"01"	"Hyperlipidaemia, unspecified"	"E78.5"	130	4921532	2.6
	"Alabama"	"01"	"Disorders of calcium metabolism"	"E83.5"	10	4921532	Unreliable
	"Alabama"	"01"	"Volume depletion"	"E86"	23	4921532	0.5
	"Alabama"	"01"	"Hyperosmolality and hypernatraemia"	"E87.0"	15	4921532	Unreliable
	"Alabama"	"01"	"Acidosis"	"E87.2"	58	4921532	1.2
	"Alabama"	"01"	"Hyperkalaemia"	"E87.5"	14	4921532	Unreliable
	"Alabama"	"01"	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	"E87.8"	10	4921532	Unreliable
	"Alabama"	"01"	"Metabolic disorder, unspecified"	"E88.9"	111	4921532	2.3
	"Alabama"	"01"	"Vascular dementia, unspecified"	"F01.9"	227	4921532	4.6
	"Alabama"	"01"	"Unspecified dementia"	"F03"	1475	4921532	30.0
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	46	4921532	0.9
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	68	4921532	1.4
	"Alabama"	"01"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	14	4921532	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	89	4921532	1.8
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	48	4921532	1.0
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	10	4921532	Unreliable
	"Alabama"	"01"	"Schizophrenia, unspecified"	"F20.9"	12	4921532	Unreliable
	"Alabama"	"01"	"Huntington disease"	"G10"	27	4921532	0.5
	"Alabama"	"01"	"Motor neuron disease"	"G12.2"	111	4921532	2.3
	"Alabama"	"01"	"Parkinson disease"	"G20"	712	4921532	14.5
	"Alabama"	"01"	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"	"G23.1"	24	4921532	0.5
	"Alabama"	"01"	"Alzheimer disease with early onset"	"G30.0"	19	4921532	Unreliable
	"Alabama"	"01"	"Alzheimer disease with late onset"	"G30.1"	205	4921532	4.2
	"Alabama"	"01"	"Alzheimer disease, unspecified"	"G30.9"	2869	4921532	58.3
	"Alabama"	"01"	"Circumscribed brain atrophy"	"G31.0"	42	4921532	0.9
	"Alabama"	"01"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	531	4921532	10.8
	"Alabama"	"01"	"Other specified degenerative diseases of nervous system"	"G31.8"	86	4921532	1.7
	"Alabama"	"01"	"Degenerative disease of nervous system, unspecified"	"G31.9"	83	4921532	1.7
	"Alabama"	"01"	"Multiple sclerosis"	"G35"	63	4921532	1.3
	"Alabama"	"01"	"Epilepsy, unspecified"	"G40.9"	27	4921532	0.5
	"Alabama"	"01"	"Status epilepticus, unspecified"	"G41.9"	24	4921532	0.5
	"Alabama"	"01"	"Sleep apnoea"	"G47.3"	12	4921532	Unreliable
	"Alabama"	"01"	"Myasthenia gravis"	"G70.0"	14	4921532	Unreliable
	"Alabama"	"01"	"Infantile cerebral palsy, unspecified"	"G80.9"	50	4921532	1.0
	"Alabama"	"01"	"Hemiplegia, unspecified"	"G81.9"	14	4921532	Unreliable
	"Alabama"	"01"	"Tetraplegia, unspecified"	"G82.5"	12	4921532	Unreliable
	"Alabama"	"01"	"Hydrocephalus, unspecified"	"G91.9"	11	4921532	Unreliable
	"Alabama"	"01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	225	4921532	4.6
	"Alabama"	"01"	"Encephalopathy, unspecified"	"G93.4"	109	4921532	2.2
	"Alabama"	"01"	"Other specified disorders of brain"	"G93.8"	10	4921532	Unreliable
	"Alabama"	"01"	"Mitral valve disease, unspecified"	"I05.9"	11	4921532	Unreliable
	"Alabama"	"01"	"Essential (primary) hypertension"	"I10"	531	4921532	10.8
	"Alabama"	"01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	589	4921532	12.0
	"Alabama"	"01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	667	4921532	13.6
	"Alabama"	"01"	"Hypertensive renal disease with renal failure"	"I12.0"	140	4921532	2.8
	"Alabama"	"01"	"Hypertensive renal disease without renal failure"	"I12.9"	35	4921532	0.7
	"Alabama"	"01"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	88	4921532	1.8
	"Alabama"	"01"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	56	4921532	1.1
	"Alabama"	"01"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	157	4921532	3.2
	"Alabama"	"01"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	51	4921532	1.0
	"Alabama"	"01"	"Acute subendocardial myocardial infarction"	"I21.4"	126	4921532	2.6
	"Alabama"	"01"	"Acute myocardial infarction, unspecified"	"I21.9"	1555	4921532	31.6
	"Alabama"	"01"	"Acute ischaemic heart disease, unspecified"	"I24.9"	23	4921532	0.5
	"Alabama"	"01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	1058	4921532	21.5
	"Alabama"	"01"	"Atherosclerotic heart disease"	"I25.1"	1514	4921532	30.8
	"Alabama"	"01"	"Ischaemic cardiomyopathy"	"I25.5"	168	4921532	3.4
	"Alabama"	"01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	874	4921532	17.8
	"Alabama"	"01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	227	4921532	4.6
	"Alabama"	"01"	"Primary pulmonary hypertension"	"I27.0"	19	4921532	Unreliable
	"Alabama"	"01"	"Other secondary pulmonary hypertension"	"I27.2"	79	4921532	1.6
	"Alabama"	"01"	"Pulmonary heart disease, unspecified"	"I27.9"	35	4921532	0.7
	"Alabama"	"01"	"Pericardial effusion (noninflammatory)"	"I31.3"	10	4921532	Unreliable
	"Alabama"	"01"	"Acute and subacute infective endocarditis"	"I33.0"	16	4921532	Unreliable
	"Alabama"	"01"	"Mitral (valve) insufficiency"	"I34.0"	26	4921532	0.5
	"Alabama"	"01"	"Aortic (valve) stenosis"	"I35.0"	86	4921532	1.7
	"Alabama"	"01"	"Aortic valve disorder, unspecified"	"I35.9"	12	4921532	Unreliable
	"Alabama"	"01"	"Endocarditis, valve unspecified"	"I38"	86	4921532	1.7
	"Alabama"	"01"	"Dilated cardiomyopathy"	"I42.0"	33	4921532	0.7
	"Alabama"	"01"	"Alcoholic cardiomyopathy"	"I42.6"	10	4921532	Unreliable
	"Alabama"	"01"	"Cardiomyopathy, unspecified"	"I42.9"	180	4921532	3.7
	"Alabama"	"01"	"Atrioventricular block, complete"	"I44.2"	12	4921532	Unreliable
	"Alabama"	"01"	"Other specified conduction disorders"	"I45.8"	62	4921532	1.3
	"Alabama"	"01"	"Sudden cardiac death, so described"	"I46.1"	325	4921532	6.6
	"Alabama"	"01"	"Cardiac arrest, unspecified"	"I46.9"	1920	4921532	39.0
	"Alabama"	"01"	"Ventricular tachycardia"	"I47.2"	14	4921532	Unreliable
	"Alabama"	"01"	"Atrial fibrillation and flutter"	"I48"	379	4921532	7.7
	"Alabama"	"01"	"Ventricular fibrillation and flutter"	"I49.0"	43	4921532	0.9
	"Alabama"	"01"	"Cardiac arrhythmia, unspecified"	"I49.9"	465	4921532	9.4
	"Alabama"	"01"	"Congestive heart failure"	"I50.0"	2009	4921532	40.8
	"Alabama"	"01"	"Left ventricular failure"	"I50.1"	11	4921532	Unreliable
	"Alabama"	"01"	"Heart failure, unspecified"	"I50.9"	684	4921532	13.9
	"Alabama"	"01"	"Cardiovascular disease, unspecified"	"I51.6"	220	4921532	4.5
	"Alabama"	"01"	"Cardiomegaly"	"I51.7"	12	4921532	Unreliable
	"Alabama"	"01"	"Heart disease, unspecified"	"I51.9"	688	4921532	14.0
	"Alabama"	"01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	77	4921532	1.6
	"Alabama"	"01"	"Intracerebral haemorrhage in hemisphere, unspecified"	"I61.2"	15	4921532	Unreliable
	"Alabama"	"01"	"Intracerebral haemorrhage in brain stem"	"I61.3"	25	4921532	0.5
	"Alabama"	"01"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	19	4921532	Unreliable
	"Alabama"	"01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	205	4921532	4.2
	"Alabama"	"01"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	93	4921532	1.9
	"Alabama"	"01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	207	4921532	4.2
	"Alabama"	"01"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	15	4921532	Unreliable
	"Alabama"	"01"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	36	4921532	0.7
	"Alabama"	"01"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	22	4921532	0.4
	"Alabama"	"01"	"Other cerebral infarction"	"I63.8"	41	4921532	0.8
	"Alabama"	"01"	"Cerebral infarction, unspecified"	"I63.9"	538	4921532	10.9
	"Alabama"	"01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	1075	4921532	21.8
	"Alabama"	"01"	"Cerebral aneurysm, nonruptured"	"I67.1"	23	4921532	0.5
	"Alabama"	"01"	"Cerebral atherosclerosis"	"I67.2"	402	4921532	8.2
	"Alabama"	"01"	"Other specified cerebrovascular diseases"	"I67.8"	80	4921532	1.6
	"Alabama"	"01"	"Cerebrovascular disease, unspecified"	"I67.9"	262	4921532	5.3
	"Alabama"	"01"	"Sequelae of cerebral infarction"	"I69.3"	61	4921532	1.2
	"Alabama"	"01"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	85	4921532	1.7
	"Alabama"	"01"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	41	4921532	0.8
	"Alabama"	"01"	"Atherosclerosis of arteries of extremities"	"I70.2"	24	4921532	0.5
	"Alabama"	"01"	"Generalized and unspecified atherosclerosis"	"I70.9"	104	4921532	2.1
	"Alabama"	"01"	"Dissection of aorta [any part]"	"I71.0"	46	4921532	0.9
	"Alabama"	"01"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	42	4921532	0.9
	"Alabama"	"01"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	20	4921532	0.4
	"Alabama"	"01"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	13	4921532	Unreliable
	"Alabama"	"01"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	13	4921532	Unreliable
	"Alabama"	"01"	"Aneurysm of unspecified site"	"I72.9"	16	4921532	Unreliable
	"Alabama"	"01"	"Peripheral vascular disease, unspecified"	"I73.9"	94	4921532	1.9
	"Alabama"	"01"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	47	4921532	1.0
	"Alabama"	"01"	"Other and unspecified disorders of circulatory system"	"I99"	85	4921532	1.7
	"Alabama"	"01"	"Influenza with pneumonia, influenza virus identified"	"J10.0"	28	4921532	0.6
	"Alabama"	"01"	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	25	4921532	0.5
	"Alabama"	"01"	"Influenza with pneumonia, virus not identified"	"J11.0"	23	4921532	0.5
	"Alabama"	"01"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	24	4921532	0.5
	"Alabama"	"01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	47	4921532	1.0
	"Alabama"	"01"	"Bacterial pneumonia, unspecified"	"J15.9"	41	4921532	0.8
	"Alabama"	"01"	"Bronchopneumonia, unspecified"	"J18.0"	44	4921532	0.9
	"Alabama"	"01"	"Lobar pneumonia, unspecified"	"J18.1"	20	4921532	0.4
	"Alabama"	"01"	"Pneumonia, unspecified"	"J18.9"	809	4921532	16.4
	"Alabama"	"01"	"Bronchitis, not specified as acute or chronic"	"J40"	12	4921532	Unreliable
	"Alabama"	"01"	"Emphysema, unspecified"	"J43.9"	85	4921532	1.7
	"Alabama"	"01"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	300	4921532	6.1
	"Alabama"	"01"	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	"J44.1"	73	4921532	1.5
	"Alabama"	"01"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	11	4921532	Unreliable
	"Alabama"	"01"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	2871	4921532	58.3
	"Alabama"	"01"	"Asthma, unspecified"	"J45.9"	56	4921532	1.1
	"Alabama"	"01"	"Bronchiectasis"	"J47"	10	4921532	Unreliable
	"Alabama"	"01"	"Pneumoconiosis due to asbestos and other mineral fibres"	"J61"	10	4921532	Unreliable
	"Alabama"	"01"	"Pneumonitis due to food and vomit"	"J69.0"	298	4921532	6.1
	"Alabama"	"01"	"Adult respiratory distress syndrome"	"J80"	53	4921532	1.1
	"Alabama"	"01"	"Pulmonary oedema"	"J81"	22	4921532	0.4
	"Alabama"	"01"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	196	4921532	4.0
	"Alabama"	"01"	"Interstitial pulmonary disease, unspecified"	"J84.9"	98	4921532	2.0
	"Alabama"	"01"	"Pyothorax without fistula"	"J86.9"	11	4921532	Unreliable
	"Alabama"	"01"	"Pleural effusion, not elsewhere classified"	"J90"	24	4921532	0.5
	"Alabama"	"01"	"Pneumothorax, unspecified"	"J93.9"	12	4921532	Unreliable
	"Alabama"	"01"	"Acute respiratory failure"	"J96.0"	151	4921532	3.1
	"Alabama"	"01"	"Chronic respiratory failure"	"J96.1"	110	4921532	2.2
	"Alabama"	"01"	"Respiratory failure, unspecified"	"J96.9"	198	4921532	4.0
	"Alabama"	"01"	"Other disorders of lung"	"J98.4"	32	4921532	0.7
	"Alabama"	"01"	"Other specified respiratory disorders"	"J98.8"	15	4921532	Unreliable
	"Alabama"	"01"	"Gastro-oesophageal reflux disease without oesophagitis"	"K21.9"	10	4921532	Unreliable
	"Alabama"	"01"	"Gastric ulcer, chronic or unspecified with perforation"	"K25.5"	13	4921532	Unreliable
	"Alabama"	"01"	"Duodenal ulcer, chronic or unspecified with perforation"	"K26.5"	12	4921532	Unreliable
	"Alabama"	"01"	"Unspecified abdominal hernia with obstruction, without gangrene"	"K46.0"	10	4921532	Unreliable
	"Alabama"	"01"	"Acute vascular disorders of intestine"	"K55.0"	18	4921532	Unreliable
	"Alabama"	"01"	"Vascular disorder of intestine, unspecified"	"K55.9"	108	4921532	2.2
	"Alabama"	"01"	"Volvulus"	"K56.2"	10	4921532	Unreliable
	"Alabama"	"01"	"Other and unspecified intestinal obstruction"	"K56.6"	93	4921532	1.9
